office_id,member_id,managed_entity_id,electric_date,electric_usage
OFF001,user001,ME001,2023-06-01,1.06
OFF001,user002,ME001,2023-06-01,1.17
OFF001,user003,ME001,2023-06-01,1.23
OFF001,user001,ME001,2023-06-01,1.47
OFF001,user002,ME001,2023-06-01,1.46
OFF001,user003,ME001,2023-06-01,1.38
OFF001,user001,ME001,2023-06-01,1.79
OFF001,user002,ME001,2023-06-01,1.26
OFF001,user003,ME001,2023-06-01,1.56
OFF001,user001,ME001,2023-06-01,1.49
OFF001,user002,ME001,2023-06-01,1.34
OFF001,user003,ME001,2023-06-01,1.28
OFF001,user001,ME001,2023-06-02,1.35
OFF001,user002,ME001,2023-06-02,1.29
OFF001,user003,ME001,2023-06-02,1.42
OFF001,user001,ME001,2023-06-02,1.5
OFF001,user002,ME001,2023-06-02,1.24
OFF001,user003,ME001,2023-06-02,1.56
OFF001,user001,ME001,2023-06-02,1.68
OFF001,user002,ME001,2023-06-02,1.53
OFF001,user003,ME001,2023-06-02,1.48
OFF001,user001,ME001,2023-06-02,1.68
OFF001,user002,ME001,2023-06-02,1.32
OFF001,user003,ME001,2023-06-02,1.4
OFF001,user001,ME001,2023-06-03,1.4
OFF001,user002,ME001,2023-06-03,1.48
OFF001,user003,ME001,2023-06-03,1.36
OFF001,user001,ME001,2023-06-03,1.57
OFF001,user002,ME001,2023-06-03,1.47
OFF001,user003,ME001,2023-06-03,1.37
OFF001,user001,ME001,2023-06-03,1.92
OFF001,user002,ME001,2023-06-03,1.32
OFF001,user003,ME001,2023-06-03,1.46
OFF001,user001,ME001,2023-06-03,1.68
OFF001,user002,ME001,2023-06-03,1.47
OFF001,user003,ME001,2023-06-03,1.19
OFF001,user001,ME001,2023-06-04,1.3
OFF001,user002,ME001,2023-06-04,1.25
OFF001,user003,ME001,2023-06-04,1.31
OFF001,user001,ME001,2023-06-04,1.37
OFF001,user002,ME001,2023-06-04,1.44
OFF001,user003,ME001,2023-06-04,1.65
OFF001,user001,ME001,2023-06-04,1.66
OFF001,user002,ME001,2023-06-04,1.34
OFF001,user003,ME001,2023-06-04,1.72
OFF001,user001,ME001,2023-06-04,1.54
OFF001,user002,ME001,2023-06-04,1.34
OFF001,user003,ME001,2023-06-04,1.7
OFF001,user001,ME001,2023-06-05,1.38
OFF001,user002,ME001,2023-06-05,1.41
OFF001,user003,ME001,2023-06-05,1.33
OFF001,user001,ME001,2023-06-05,1.64
OFF001,user002,ME001,2023-06-05,1.45
OFF001,user003,ME001,2023-06-05,1.39
OFF001,user001,ME001,2023-06-05,1.57
OFF001,user002,ME001,2023-06-05,1.35
OFF001,user003,ME001,2023-06-05,1.7
OFF001,user001,ME001,2023-06-05,1.67
OFF001,user002,ME001,2023-06-05,1.65
OFF001,user003,ME001,2023-06-05,1.75
OFF001,user001,ME001,2023-06-06,1.37
OFF001,user002,ME001,2023-06-06,1.24
OFF001,user003,ME001,2023-06-06,1.23
OFF001,user001,ME001,2023-06-06,1.28
OFF001,user002,ME001,2023-06-06,1.32
OFF001,user003,ME001,2023-06-06,1.51
OFF001,user001,ME001,2023-06-06,1.99
OFF001,user002,ME001,2023-06-06,1.46
OFF001,user003,ME001,2023-06-06,2.0
OFF001,user001,ME001,2023-06-06,1.55
OFF001,user002,ME001,2023-06-06,1.47
OFF001,user003,ME001,2023-06-06,1.72
OFF001,user001,ME001,2023-06-07,1.17
OFF001,user002,ME001,2023-06-07,1.35
OFF001,user003,ME001,2023-06-07,1.33
OFF001,user001,ME001,2023-06-07,1.48
OFF001,user002,ME001,2023-06-07,1.35
OFF001,user003,ME001,2023-06-07,1.33
OFF001,user001,ME001,2023-06-07,1.78
OFF001,user002,ME001,2023-06-07,1.67
OFF001,user003,ME001,2023-06-07,1.58
OFF001,user001,ME001,2023-06-07,1.56
OFF001,user002,ME001,2023-06-07,1.59
OFF001,user003,ME001,2023-06-07,1.92
OFF001,user001,ME001,2023-06-08,1.12
OFF001,user002,ME001,2023-06-08,1.24
OFF001,user003,ME001,2023-06-08,1.51
OFF001,user001,ME001,2023-06-08,1.3
OFF001,user002,ME001,2023-06-08,1.62
OFF001,user003,ME001,2023-06-08,1.52
OFF001,user001,ME001,2023-06-08,1.61
OFF001,user002,ME001,2023-06-08,1.5
OFF001,user003,ME001,2023-06-08,1.56
OFF001,user001,ME001,2023-06-08,1.63
OFF001,user002,ME001,2023-06-08,1.34
